trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,stable,trend,num,kappas,text_1.started,text_1.stopped,key_resp_1.keys,key_resp_1.rt,key_resp_1.started,key_resp_1.stopped,text_2.started,text_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,text_3.started,text_3.stopped,text_4.started,text_4.stopped,image_51.started,image_51.stopped,image_52.started,image_52.stopped,image_53.started,image_53.stopped,image_54.started,image_54.stopped,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.time,mouse_5.clicked_name,mouse_5.started,mouse_5.stopped,text_5.started,text_5.stopped,image_61.started,image_61.stopped,image_62.started,image_62.stopped,image_63.started,image_63.stopped,image_64.started,image_64.stopped,text_61.started,text_61.stopped,text_62.started,text_62.stopped,text_63.started,text_63.stopped,text_64.started,text_64.stopped,text_6.started,text_6.stopped,text_7.started,text_7.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,0,0,1,"[-0.5, 0.5, -0.5, 0.5]",23.374293200002285,None,right,0.5552905999938957,23.374293200002285,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Apr_24_1622,expt_vbuild_2020,2020.1.3,59.298545652572976,
,,,,,,,,,,,,,,23.957546299992828,None,right,0.4928942999977153,23.957546299992828,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Apr_24_1622,expt_vbuild_2020,2020.1.3,59.298545652572976,
0,0,0,0,,,,,,,,,,,,,,,,,24.50355789999594,None,25.541248800000176,None,26.549312499992084,None,26.549312499992084,None,26.549312499992084,None,26.549312499992084,None,-0.2630208333333333,0.25390625,1,0,0,1.7095033999939915,image_51,0.015233979996992275,None,26.549312499992084,None,28.204098699992755,None,28.204098699992755,None,28.204098699992755,None,28.204098699992755,None,28.204098699992755,None,28.204098699992755,None,28.204098699992755,None,28.204098699992755,None,28.204098699992755,None,,,,001,2021_Apr_24_1622,expt_vbuild_2020,2020.1.3,59.298545652572976,
1,0,1,0,,,,,,,,,,,,,,,,,29.706617799995,None,30.707058500003768,None,31.709244199999375,None,31.709244199999375,None,31.709244199999375,None,31.709244199999375,None,0.22526041666666666,0.2604166666666667,1,0,0,0.5483920999977272,image_52,0.015048879984533414,None,31.709244199999375,None,32.26681309999549,None,32.26681309999549,None,32.26681309999549,None,32.26681309999549,None,32.26681309999549,None,32.26681309999549,None,32.26681309999549,None,32.26681309999549,None,32.26681309999549,None,,,,001,2021_Apr_24_1622,expt_vbuild_2020,2020.1.3,59.298545652572976,
2,0,2,0,,,,,,,,,,,,,,,,,33.772699599998305,None,34.77448670001468,None,35.773530400008895,None,35.773530400008895,None,35.773530400008895,None,35.773530400008895,None,0.16796875,-0.22916666666666666,1,0,0,0.9144038999802433,image_53,0.015651779976906255,None,35.773530400008895,None,36.69214070000453,None,36.69214070000453,None,36.69214070000453,None,36.69214070000453,None,36.69214070000453,None,36.69214070000453,None,36.69214070000453,None,36.69214070000453,None,36.69214070000453,None,,,,001,2021_Apr_24_1622,expt_vbuild_2020,2020.1.3,59.298545652572976,
3,0,3,0,,,,,,,,,,,,,,,,,38.20514750000439,None,39.205798100010725,None,40.205467599997064,None,40.205467599997064,None,40.205467599997064,None,40.205467599997064,None,-0.24739583333333334,-0.22265625,1,0,0,0.5326750999956857,image_54,0.015908280009170994,None,40.205467599997064,None,40.74420449999161,None,40.74420449999161,None,40.74420449999161,None,40.74420449999161,None,40.74420449999161,None,40.74420449999161,None,40.74420449999161,None,40.74420449999161,None,40.74420449999161,None,,,,001,2021_Apr_24_1622,expt_vbuild_2020,2020.1.3,59.298545652572976,
4,0,4,0,,,,,,,,,,,,,,,,,42.25463619999937,None,43.25606260000495,None,44.254354100005,None,44.254354100005,None,44.254354100005,None,44.254354100005,None,0.21614583333333334,-0.25,1,0,0,0.4670470999844838,image_53,0.015945079998346046,None,44.254354100005,None,44.724473900016164,None,44.724473900016164,None,44.724473900016164,None,44.724473900016164,None,44.724473900016164,None,44.724473900016164,None,44.724473900016164,None,44.724473900016164,None,44.724473900016164,None,,,,001,2021_Apr_24_1622,expt_vbuild_2020,2020.1.3,59.298545652572976,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.23727250000229,None,,,,,,,
